#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-apps,"Many useful xorg utilities"
,autorandr,"Auto-detect connected display hardware and load appropiate X11 setup using xrandr"
# ,arandr,"allows the user to customize monitor arrangements."
,noto-fonts,"is a collection of Google Noto TTF fonts"
,noto-fonts-emoji,"is a collection of Google Noto emoji fonts"
,sddm,"is my preferred Display Manager (Login Manager)"
,networkmanager,"is a network connection manager and user applications"
,network-manager-applet,"is an applet for managing network connections"
,iwd,"is an Internet Wireless Daemon for wfi connectivity"
,dnsmasq,"is a lightweight, easy to configure DNS forwarder and DHCP server"
,exfat-utils,"allows management of FAT drives."
,dosfstools,"allows your computer to access dos-like filesystems."
,pacman-contrib,"is collection of contributed scripts and tools for pacman systems"
,zsh,"is the zsh shell"
,gnupg,"is a complete and free implementation of the OpenPGP standard"
,sshfs,"provides FUSE client based on the SSH File Transfer Protocol"
,openssh,"is a premier connectivity tool for remote login with the SSH protocol"
,gufw,"provides an uncomplicated way to manage your Linux firewall"
,herbstluftwm,"is a superb window Manager"
# ,qtile,"is a full-featured, pure-Python tiling window manager"
# ,i3-gaps,"is another great window Manager"
# ,perl-anyevent-i3,"allows to communicate with the i3 window manager"
,polybar,"is a custom status bar for window managers"
,firefox,"is a good and privacy respecting web browser"
,blueman,"is a bluetooth manager utility"
,alacritty,"is a cross-platform, GPU-accelerated terminal emulator"
,bash-completion,"provides completions for bash shell"
,vifm,"is an extensive terminal file manager that everyone likes."
,neovim,"is a vim fork with builtin lsp, lua support and some useful features"
,tmux,"is a terminal  multiplexer"
,fzf,"is a fuzzy finder tool."
,ripgrep,"provides faster grep and search tool."
,fd,"is a faster find alternative."
,rofi,"is an awesome window switcher, application launcher and dmenu replacement"
,clang,"is a C family compiler, formatter, debug and other tools from LLVM"
,cmake,"is an open source make system"
,sxhkd,"is a simple X hotkey daemon"
,starship,"is a cross-shell prompt with many nice features"
,bat,"is cat clone with syntax highlighting"
,exa,"is a colorful 'ls' command replacement"
,tree,"is a directory lister"
,zoxide,"is a smarter, with interactive, cd command"
,neofetch,"displays system info"
,jgmenu,"provides a right click menu like desktop environments"
,picom,"is for transparency and removing screen-tearing."
,stow,"is a symlink maker and manager from GNU"
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,feh,"sets the wallpaper."
,keepassxc,"is a cross-platform community-driven port of Keepass password manager"
,restic,"is a very reliable backup tool with local and cloud storage support"
,cronie,"Schedule program runs"
,jq,"is a command-line JSON processor"
# ,docker,"allows to pack, ship and run any application as a lightweight container"
,podman,"is a tool and library for running OCI-based containers in pods"
,lxqt-policykit,"is the LXQt policykit authentication agent"
,ffmpeg,"can record and splice video and audio on the command line."
,lxappearance,"is a GTK theme configuration setting program"
,qt5ct,"is a Qt 5 theme configuration setting program"
,qt6ct,"is a Qt 6 theme configuration setting program"
,arc-gtk-theme,"is a nice dark theme 1"
,deepin-gtk-theme,"is a nice dark theme 2"
,papirus-icon-theme,"provides cleaner icons for your system"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,stalonetray,"is a stand-alone system tray"
,asciinema,"record terminal sessions and save/upload"
,simplescreenrecorder,"is a software for recording your screen"
,peek,"lets you record your screen and make gifs"
,gifski,"allows to make high quality gifs for peek"
,cmus,"is a feature-rich ncurses-based music player"
,ntfs-3g,"allows accessing NTFS partitions."
,btrfs-progs,"provides btrfs filesystem utilities"
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pipewire-alsa,"gives pipewire compatibility with alsa clients."
,wireplumber,"is a session/policy manager implementation for Pipewire."
,pulsemixer,"is an audio controller."
,pavucontrol,"is a command-line audio interface."
,helvum,"is a GTK patchbay for PipeWire"
,flameshot,"can take quick screenshots at your request."
,p7zip,"allows to manage 7z and zip compressed files"
,xclip,"allows for copying and pasting from the command line."
,clipmenu,"is a clipboard utility and convenience helper"
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-poppler,"adds pdf support to zathura by using the poppler engine."
,evince,"is a lightweight document viewer with highlighting and annotations.(PDF, PostScript, XPS, djvu, dvi, tiff, cbr, cbz, cb7, cbt)"
,xournalpp,"is a handwriting and notetaking software with PDF annotation support"
,mediainfo,"shows audio and video information."
,imagemagick,"is an image viewing/manipulation program"
,ghostscript,"is an interpreter for the PostScript language"
,atool,"manages and gives information about archives."
,acpilight,"is a backlight manager alternative to xbacklight"
,acl,"is an access control list utility"
,htop,"is a system process monitor"
,bottom,"is aother system process monitor"
,meld,"lets you compare files, directories and working copies"
,fortune-mod,"provides the fortune command to give random quotes"
,cowsay,"gives ascii test of cow"
,cmatrix,"is curses-based scrolling 'Matrix'-like screen"
,asciiquarium,"is an aquarium/sea animation in ASCII art"
,udisks2,"is a Disk management, external storage mounting, unmounting"
,xdg-user-dirs,"allows to create/manage user directories like ~/Desktop and ~/Music"
,xdg-user-dirs-gtk,"allows to create/manage user dirs and asks to relocalize them"
,pcmanfm-gtk3,"is an extremely fast and lightweight file manager (GTK+ 3 version)"
,gvfs,"is virtual filesystem implementation for GIO, for trash support"
,gvfs-mtp,"provides media transfer protocol support"
,trash-cli,"is a command line trashcan (recycle bin) interface"
,zenity,"is for displaying graphical dialog boxes from shell scripts"
# ,snapper,"is a utility to manage btrf snapshots"
# ,snap-pac,"will allow to take automatic snapshtos with snapper after pacman upgrades"
# ,refind-btrfs,"allows to add snapshot entries to refind menu"
# ,snap-pac-grub,"allows to reload grub configuration for grub-btrfs after snap-pac operation"
# ,grub-btrfs,"allows snapshots in grub menu"
# ,snp,"can wrap any command in pre/post snapshots"
A,tdrop-git,"is a glorified WM-independent dropdown creator"
# A,conky-lua-nv,"is an advanced system monitor for X based on torsmo with lua and nvidia enabled"
A,dragon-drop-git,"is a simple drag-and-drop source/sink for X"
A,nsxiv-git,"is a minimalist image viewer."
A,betterlockscreen-git,"is another lockscreen application"
A,shell-color-scripts,"provides random color scripts when opening terminal"
A,sddm-theme-astronaut,"gives beautiful SDDM astronaut theme"
P,tmuxp,"is a session manager for tmux"
P,pillow-simd,"Pillow is the friendly PIL fork by Alex Clark and Contributors. PIL is the Python Imaging Library by Fredrik Lundh and Contributors."
P,ueberzug,"is a command line util which allows to draw images on terminals by using child windows."
